chr1	3205901	3671498	ENSMUSG00000051951	.	-	3.6658
chr1	4343507	4360314	ENSMUSG00000025900	.	-	.
chr1	4490928	4496413	ENSMUSG00000025902	.	-	.
chr1	4773206	4785739	ENSMUSG00000033845	.	-	.
chr1	4807788	4886770	ENSMUSG00000025903	.	+	0.3197
chr1	4857814	4897909	ENSMUSG00000033813	.	+	0.3475
chr1	4879202	4880669	ENSMUSG00000062588	.	-	.
chr1	4909576	5070285	ENSMUSG00000002459	.	-	1.2964
chr1	5083173	5162549	ENSMUSG00000033793	.	+	0.0625
chr1	5588493	5606131	ENSMUSG00000025905	.	+	0.2193
chr1	5913707	5917398	ENSMUSG00000033774	.	-	0.2
chr1	6206197	6276648	ENSMUSG00000025907	.	+	0.2395
chr1	6214612	6215292	ENSMUSG00000073741	.	-	.
chr1	6359331	6394731	ENSMUSG00000087247	.	+	.
chr1	6487231	6860940	ENSMUSG00000033740	.	+	3.4464
chr1	7088920	7173628	ENSMUSG00000051285	.	+	1.8568
chr1	8361475	9299878	ENSMUSG00000025909	.	-	1.5027
chr1	9545408	9547454	ENSMUSG00000061024	.	+	.
chr1	9547948	9577970	ENSMUSG00000025911	.	+	0.2538
chr1	9560832	9631175	ENSMUSG00000079671	.	-	1.6541
chr1	9601199	9627143	ENSMUSG00000067879	.	+	1.0789
chr1	9667415	9700209	ENSMUSG00000025912	.	-	0
chr1	9718622	9748382	ENSMUSG00000045210	.	-	0.0625
chr1	9798130	9902556	ENSMUSG00000025915	.	+	1.4412
chr1	9908638	9942085	ENSMUSG00000046101	.	+	0.1488
chr1	9960163	9967932	ENSMUSG00000099032	.	-	.
chr1	9960171	9962809	ENSMUSG00000073738	.	-	.
chr1	9968624	10009136	ENSMUSG00000025916	.	-	1.2153
chr1	10024602	10038127	ENSMUSG00000025917	.	-	0.0588
chr1	10038218	10136768	ENSMUSG00000056763	.	+	0.2748
chr1	10137571	10232670	ENSMUSG00000067851	.	-	0.314
chr1	10324720	10719945	ENSMUSG00000042501	.	-	3.336
chr1	10993465	11303682	ENSMUSG00000048960	.	+	4.5436
chr1	11414105	11975901	ENSMUSG00000057715	.	+	2.3228
chr1	11414112	11537707	ENSMUSG00000095719	.	+	0.8096
chr1	12692430	12860371	ENSMUSG00000016918	.	+	6.5574
chr1	12866549	12991177	ENSMUSG00000025938	.	-	5.0644
chr1	13062019	13062348	ENSMUSG00000069620	.	+	.
chr1	13113457	13127163	ENSMUSG00000042414	.	-	0.2901
chr1	13139105	13374083	ENSMUSG00000005886	.	-	1.8615
chr1	13564702	13589864	ENSMUSG00000025935	.	-	0.3299
chr1	13624845	13660546	ENSMUSG00000025937	.	-	0.1865
chr1	13668771	13701723	ENSMUSG00000067813	.	+	0.0667
chr1	14168954	14310200	ENSMUSG00000025932	.	-	3.2438
chr1	14753346	14755966	ENSMUSG00000025930	.	-	0.2
chr1	14755454	14758373	ENSMUSG00000054493	.	+	.
chr1	14872648	14918862	ENSMUSG00000032769	.	-	0.0871
chr1	15287259	15714295	ENSMUSG00000092083	.	+	6.004
chr1	15712303	15716367	ENSMUSG00000090498	.	+	.
chr1	15805658	15843428	ENSMUSG00000025925	.	+	.
chr1	15853862	15892722	ENSMUSG00000032719	.	-	0.3727
chr1	16065979	16093325	ENSMUSG00000067795	.	-	0.2674
chr1	16101295	16104662	ENSMUSG00000043716	.	-	.
chr1	16105774	16133734	ENSMUSG00000025921	.	+	0.9262
chr1	16228674	16520112	ENSMUSG00000025920	.	-	2.7763
chr1	16540790	16619489	ENSMUSG00000025939	.	-	0.1327
chr1	16642766	16656865	ENSMUSG00000079658	.	-	.
chr1	16665207	16678275	ENSMUSG00000025940	.	+	0
chr1	16688456	16709605	ENSMUSG00000025779	.	+	0.6516
chr1	16768270	16770138	ENSMUSG00000091020	.	-	.
chr1	16994938	17097889	ENSMUSG00000042686	.	-	0.4931
chr1	17145362	17164271	ENSMUSG00000025777	.	+	0.4381
chr1	17601901	17630938	ENSMUSG00000067780	.	+	0.2243
chr1	17727045	17766344	ENSMUSG00000025776	.	+	0.404
chr1	18115191	18145902	ENSMUSG00000025774	.	-	0.0952
chr1	18236473	18237443	ENSMUSG00000073735	.	-	.
chr1	18250980	18265138	ENSMUSG00000067773	.	-	.
chr1	18260524	18265080	ENSMUSG00000089923	.	-	.
chr1	19103022	19166346	ENSMUSG00000042596	.	+	0.3441
chr1	19208914	19238734	ENSMUSG00000025927	.	+	0.5121
chr1	20057779	20618064	ENSMUSG00000043760	.	-	4.1706
chr1	20730905	20734496	ENSMUSG00000025929	.	+	.
chr1	20777151	20784270	ENSMUSG00000041872	.	-	.
chr1	20802974	20820278	ENSMUSG00000041859	.	-	0.209
chr1	20890622	20938755	ENSMUSG00000025931	.	+	2.0646
chr1	20951626	20990838	ENSMUSG00000041809	.	+	2.6066
chr1	20996296	21079229	ENSMUSG00000041779	.	-	2.3815
chr1	21218575	21230167	ENSMUSG00000025933	.	+	0.3
chr1	21240589	21265361	ENSMUSG00000025934	.	+	0.6176
chr1	21272338	21273082	ENSMUSG00000096375	.	+	.
chr1	21349641	21352200	ENSMUSG00000067750	.	+	.
chr1	21368331	21370845	ENSMUSG00000041722	.	+	.
chr1	21383556	21386373	ENSMUSG00000085079	.	+	.
chr1	21398403	21961942	ENSMUSG00000028033	.	-	5.7288
chr1	22286251	22805994	ENSMUSG00000041670	.	-	5.2515
chr1	23100473	23102253	ENSMUSG00000073730	.	-	.
chr1	23255987	23256406	ENSMUSG00000073729	.	-	.
chr1	23366424	23383175	ENSMUSG00000026158	.	-	0.0601
chr1	23761753	23849158	ENSMUSG00000026156	.	+	1.1943
chr1	23844846	23922317	ENSMUSG00000026155	.	-	0.5118
chr1	23995939	24005656	ENSMUSG00000026154	.	-	0.0833
chr1	24005505	24005894	ENSMUSG00000096985	.	+	.
chr1	24010758	24100341	ENSMUSG00000026153	.	-	0.3272
chr1	24177610	24252684	ENSMUSG00000026147	.	+	0.5615
chr1	24261890	24587472	ENSMUSG00000026141	.	-	7.4483
chr1	24612404	24612700	ENSMUSG00000067736	.	-	.
chr1	24678544	24766299	ENSMUSG00000073725	.	+	0.1053
chr1	25067476	25829707	ENSMUSG00000033569	.	-	5.6341
