chr1	3205901	3671498	ENSMUSG00000051951	.	-	329.4599
chr1	4343507	4360314	ENSMUSG00000025900	.	-	23.8743
chr1	4490928	4496413	ENSMUSG00000025902	.	-	11.425
chr1	4773206	4785739	ENSMUSG00000033845	.	-	4.3053
chr1	4807788	4886770	ENSMUSG00000025903	.	+	64.3898
chr1	4857814	4897909	ENSMUSG00000033813	.	+	24.857
chr1	4879202	4880669	ENSMUSG00000062588	.	-	0.7574
chr1	4909576	5070285	ENSMUSG00000002459	.	-	204.8262
chr1	5083173	5162549	ENSMUSG00000033793	.	+	38.299
chr1	5588493	5606131	ENSMUSG00000025905	.	+	20.1384
chr1	5913707	5917398	ENSMUSG00000033774	.	-	1.7366
chr1	6206197	6276648	ENSMUSG00000025907	.	+	45.0996
chr1	6214612	6215292	ENSMUSG00000073741	.	-	0.6013
chr1	6359331	6394731	ENSMUSG00000087247	.	+	90.3518
chr1	6487231	6860940	ENSMUSG00000033740	.	+	822.8553
chr1	7088920	7173628	ENSMUSG00000051285	.	+	86.2354
chr1	8361475	9299878	ENSMUSG00000025909	.	-	868.8909
chr1	9545408	9547454	ENSMUSG00000061024	.	+	2.9768
chr1	9547948	9577970	ENSMUSG00000025911	.	+	42.2816
chr1	9560832	9631175	ENSMUSG00000079671	.	-	74.2588
chr1	9601199	9627143	ENSMUSG00000067879	.	+	15.0247
chr1	9667415	9700209	ENSMUSG00000025912	.	-	48.6134
chr1	9718622	9748382	ENSMUSG00000045210	.	-	19.1152
chr1	9798130	9902556	ENSMUSG00000025915	.	+	133.844
chr1	9908638	9942085	ENSMUSG00000046101	.	+	22.8542
chr1	9960163	9967932	ENSMUSG00000099032	.	-	27.8687
chr1	9960171	9962809	ENSMUSG00000073738	.	-	16.3036
chr1	9968624	10009136	ENSMUSG00000025916	.	-	64.2939
chr1	10024602	10038127	ENSMUSG00000025917	.	-	4.0623
chr1	10038218	10136768	ENSMUSG00000056763	.	+	78.3091
chr1	10137571	10232670	ENSMUSG00000067851	.	-	47.7142
chr1	10324720	10719945	ENSMUSG00000042501	.	-	524.5544
chr1	10993465	11303682	ENSMUSG00000048960	.	+	530.8242
chr1	11414105	11975901	ENSMUSG00000057715	.	+	625.6588
chr1	11414112	11537707	ENSMUSG00000095719	.	+	123.0535
chr1	12692430	12860371	ENSMUSG00000016918	.	+	362.9852
chr1	12866549	12991177	ENSMUSG00000025938	.	-	240.1177
chr1	13062019	13062348	ENSMUSG00000069620	.	+	0.25
chr1	13113457	13127163	ENSMUSG00000042414	.	-	18.3466
chr1	13139105	13374083	ENSMUSG00000005886	.	-	259.2338
chr1	13564702	13589864	ENSMUSG00000025935	.	-	45.3786
chr1	13624845	13660546	ENSMUSG00000025937	.	-	71.1536
chr1	13668771	13701723	ENSMUSG00000067813	.	+	47.5622
chr1	14168954	14310200	ENSMUSG00000025932	.	-	344.3662
