chr1	3073253	3074322	ENSMUSG00000102693	TEC	+	0.6763
chr1	3102016	3102125	ENSMUSG00000064842	snRNA	+	.
chr1	3205901	3671498	ENSMUSG00000051951	protein_coding	-	135.021
chr1	3252757	3253236	ENSMUSG00000102851	processed_pseudogene	+	0
chr1	3365731	3368549	ENSMUSG00000103377	TEC	-	1.262
chr1	3375556	3377788	ENSMUSG00000104017	TEC	-	1.0334
chr1	3464977	3467285	ENSMUSG00000103025	TEC	-	0.6
chr1	3466587	3513553	ENSMUSG00000089699	antisense	+	12.8667
chr1	3512451	3514507	ENSMUSG00000103201	TEC	-	1.8048
chr1	3531795	3532720	ENSMUSG00000103147	processed_pseudogene	+	0.2
chr1	3592892	3595903	ENSMUSG00000103161	TEC	-	0.4
chr1	3647309	3658904	ENSMUSG00000102331	sense_intronic	-	4.5192
chr1	3680155	3681788	ENSMUSG00000102348	TEC	+	1.1441
chr1	3752010	3754360	ENSMUSG00000102592	TEC	+	1
chr1	3783876	3783933	ENSMUSG00000088333	snRNA	-	.
chr1	3905739	3986215	ENSMUSG00000102343	lincRNA	-	23.522
chr1	3999557	4409241	ENSMUSG00000025900	protein_coding	-	119.9646
chr1	4256234	4260519	ENSMUSG00000102948	processed_pseudogene	-	1.6328
chr1	4363346	4364829	ENSMUSG00000104123	TEC	-	0
chr1	4490931	4497354	ENSMUSG00000025902	protein_coding	-	0.5334
chr1	4496551	4499558	ENSMUSG00000104238	processed_transcript	+	0.1667
chr1	4522905	4526737	ENSMUSG00000102269	processed_pseudogene	+	0.6
chr1	4529017	4529123	ENSMUSG00000096126	snRNA	+	.
chr1	4534837	4535286	ENSMUSG00000103003	processed_pseudogene	-	0.5667
chr1	4583129	4586252	ENSMUSG00000104328	lincRNA	-	1.6398
chr1	4610471	4611406	ENSMUSG00000102735	processed_pseudogene	+	0.1667
chr1	4687934	4689403	ENSMUSG00000098104	processed_pseudogene	-	0
chr1	4692219	4693424	ENSMUSG00000102175	processed_pseudogene	-	0.9525
chr1	4723277	4723379	ENSMUSG00000088000	snRNA	-	0
chr1	4735046	4735676	ENSMUSG00000103265	processed_pseudogene	-	0.2
chr1	4771131	4772199	ENSMUSG00000103922	processed_pseudogene	+	0
chr1	4773206	4785739	ENSMUSG00000033845	protein_coding	-	2.3851
chr1	4778063	4779212	ENSMUSG00000102275	TEC	-	0.5774
chr1	4807788	4848410	ENSMUSG00000025903	protein_coding	+	9.8393
chr1	4807892	4886770	ENSMUSG00000104217	protein_coding	+	17.31
chr1	4857814	4897909	ENSMUSG00000033813	protein_coding	+	7.8512
chr1	4880049	4880651	ENSMUSG00000062588	processed_pseudogene	-	0.2
chr1	4905751	4906861	ENSMUSG00000103280	TEC	-	0
chr1	4909576	5070285	ENSMUSG00000002459	protein_coding	-	54.7644
chr1	4927028	4927299	ENSMUSG00000091305	processed_pseudogene	-	0
chr1	4938576	4940710	ENSMUSG00000102653	TEC	-	1
chr1	4970857	4976820	ENSMUSG00000085623	antisense	+	2.1762
chr1	5063060	5064647	ENSMUSG00000091665	processed_pseudogene	+	0.2
chr1	5070018	5162529	ENSMUSG00000033793	protein_coding	+	15.6139
chr1	5276106	5277337	ENSMUSG00000104352	processed_pseudogene	-	0
chr1	5307739	5310017	ENSMUSG00000104046	TEC	+	0.1111
chr1	5403547	5405578	ENSMUSG00000102907	TEC	+	1.0242
chr1	5588466	5606131	ENSMUSG00000025905	protein_coding	+	6.6695
chr1	5617837	5618230	ENSMUSG00000103936	processed_pseudogene	-	0
chr1	5644645	5644745	ENSMUSG00000093015	miRNA	-	.
chr1	5842874	5844672	ENSMUSG00000103519	TEC	-	0.1111
chr1	5913707	5917398	ENSMUSG00000033774	protein_coding	-	0.8
chr1	6048963	6050045	ENSMUSG00000103090	processed_pseudogene	-	0.125
chr1	6206197	6276648	ENSMUSG00000025907	protein_coding	+	10.5988
chr1	6209866	6215293	ENSMUSG00000090031	antisense	-	0.1667
chr1	6359218	6394731	ENSMUSG00000087247	protein_coding	+	18.6023
chr1	6380394	6381032	ENSMUSG00000103355	processed_pseudogene	+	1
chr1	6382634	6383106	ENSMUSG00000102706	processed_pseudogene	-	.
